pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj27,,,I'll Take Manhattan!,6/14/06,photo,,,27,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj27/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj27/full/full/0/default.jpg,/img/derivatives/iiif/obj27/manifest.json
obj28,,,"Old Wine, New Bottle",6/14/06,photo,,,28,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj28/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj28/full/full/0/default.jpg,/img/derivatives/iiif/obj28/manifest.json
obj29,,,"""The White Woman, Mary Jemison""",6/14/06,photo,,,29,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj29/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj29/full/full/0/default.jpg,/img/derivatives/iiif/obj29/manifest.json
obj3,Peter Jemison,online,Indians Have Always Paid The Price,1995,composite,,,3,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj3/full/full/0/default.jpg,/img/derivatives/iiif/obj3/manifest.json
obj30,,,Gen. John Sullivan with Spear,6/14/06,photo,,,30,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj30/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj30/full/full/0/default.jpg,/img/derivatives/iiif/obj30/manifest.json
obj31,,,Not One Inch...,6/14/06,photo,,,31,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj31/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj31/full/full/0/default.jpg,/img/derivatives/iiif/obj31/manifest.json
obj32,,,Stamped in History,6/14/06,photo,,,32,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj32/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj32/full/full/0/default.jpg,/img/derivatives/iiif/obj32/manifest.json
obj33,,,General Sullivan's Slave House,6/14/06,photo,,,33,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj33/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj33/full/full/0/default.jpg,/img/derivatives/iiif/obj33/manifest.json
obj34,,,Innovation,6/14/06,photo,,,34,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj34/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj34/full/full/0/default.jpg,/img/derivatives/iiif/obj34/manifest.json
obj35,,,Big Tree Under Glass,6/14/06,photo,,,35,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj35/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj35/full/full/0/default.jpg,/img/derivatives/iiif/obj35/manifest.json
obj36,,,Rematch 1,6/14/06,photo,,,36,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj36/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj36/full/full/0/default.jpg,/img/derivatives/iiif/obj36/manifest.json
obj37,,,"For You, the Precious",6/14/06,photo,,,37,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj37/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj37/full/full/0/default.jpg,/img/derivatives/iiif/obj37/manifest.json
obj38,,,Rematch 2,6/14/06,photo,,,38,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj38/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj38/full/full/0/default.jpg,/img/derivatives/iiif/obj38/manifest.json
obj39,,,Road to Tribes Hill,6/14/06,photo,,,39,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj39/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj39/full/full/0/default.jpg,/img/derivatives/iiif/obj39/manifest.json
obj4,Jennifer Warren,online,Three Sisters,2004,composite,,,4,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj4/full/full/0/default.jpg,/img/derivatives/iiif/obj4/manifest.json
obj40,,,End of the Trail?,6/14/06,photo,,,40,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj40/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj40/full/full/0/default.jpg,/img/derivatives/iiif/obj40/manifest.json
obj41,,,To The Tribe's Hill,6/14/06,photo,,,41,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj41/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj41/full/full/0/default.jpg,/img/derivatives/iiif/obj41/manifest.json
obj42,,,Drive to Tribes Hill,6/14/06,photo,,,42,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj42/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj42/full/full/0/default.jpg,/img/derivatives/iiif/obj42/manifest.json
obj43,,,Thru Mohawk Valley,6/14/06,photo,,,43,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj43/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj43/full/full/0/default.jpg,/img/derivatives/iiif/obj43/manifest.json
obj44,,,Iroquois Trail Rd.,6/14/06,photo,,,44,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj44/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj44/full/full/0/default.jpg,/img/derivatives/iiif/obj44/manifest.json
obj45,,,Commander-in- chief,5/26/06,photo,,,45,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj45/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj45/full/full/0/default.jpg,/img/derivatives/iiif/obj45/manifest.json
obj46,,,Cherry Valley!,5/26/06,photo,,,46,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj46/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj46/full/full/0/default.jpg,/img/derivatives/iiif/obj46/manifest.json
obj47,,,Sullivan-Clinton Road Monument,5/26/06,photo,,,47,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj47/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj47/full/full/0/default.jpg,/img/derivatives/iiif/obj47/manifest.json
obj48,,,Felled by Tomahawk,5/26/06,photo,,,48,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj48/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj48/full/full/0/default.jpg,/img/derivatives/iiif/obj48/manifest.json
